when,temp,cons
before,-0.8,7.2
before,-0.7,6.9
before,0.4,6.4
before,2.5,6.0
before,2.9,5.8
before,3.2,5.8
before,3.6,5.6
before,3.9,4.7
before,4.2,5.8
before,4.3,5.2
before,5.4,4.9
before,6.0,4.9
before,6.0,4.3
before,6.0,4.4
before,6.2,4.5
before,6.3,4.6
before,6.9,3.7
before,7.0,3.9
before,7.4,4.2
before,7.5,4.0
before,7.5,3.9
before,7.6,3.5
before,8.0,4.0
before,8.5,3.6
before,9.1,3.1
before,10.2,2.6
after,-0.7,4.8
after,0.8,4.6
after,1.0,4.7
after,1.4,4.0
after,1.5,4.2
after,1.6,4.2
after,2.3,4.1
after,2.5,4.0
after,2.5,3.5
after,3.1,3.2
after,3.9,3.9
after,4.0,3.5
after,4.0,3.7
after,4.2,3.5
after,4.3,3.5
after,4.6,3.7
after,4.7,3.5
after,4.9,3.4
after,4.9,3.7
after,4.9,4.0
after,5.0,3.6
after,5.3,3.7
after,6.2,2.8
after,7.1,3.0
after,7.2,2.8
after,7.5,2.6
after,8.0,2.7
after,8.7,2.8
after,8.8,1.3
after,9.7,1.5
